,discoverymethod,st_spectype,pl_bmassj,pl_orbper,hostname,pl_radj
3502,Transit,,0.0728,7.27503724,Kepler-678,0.459
3503,Transit,,0.0119,2.382961,Kepler-82,0.158
3504,Transit,,0.00879,1.97034246,Kepler-975,0.132
3505,Transit,,0.0519,88.40655258,Kepler-953,0.376
3506,Transit,,0.126,8.726,Kepler-84,0.199
3507,Transit,,0.0106,0.67564949,Kepler-1368,0.147
3508,Transit,,0.0208,22.250949,Kepler-397,0.219
3509,Transit,,0.0239,16.85837,Kepler-357,0.238
3510,Transit,,0.0317,51.805612,Kepler-324,0.281
3511,Microlensing,,0.0563,,OGLE-2015-BLG-1670L,0.394
3512,Transit,,0.0394,3.16635371,Kepler-729,0.319
3513,Transit,,0.0334,67.093408,Kepler-199,0.29
3514,Transit,,0.00065,2.89223021,Kepler-1542,0.058
3515,Transit,,0.00869,18.0540381,Kepler-1564,0.131
3516,Transit,,0.00227,13.6473676,Kepler-1607,0.082
3517,Transit,,0.0117,68.16101,Kepler-215,0.156
3518,Radial Velocity,K5,6.575,192.0,HD 233604,1.13
3519,Radial Velocity,K2.5 V,0.0208,9.6184,HD 40307,0.219
3520,Radial Velocity,K2,10.95,471.60001,HD 13189,1.11
3521,Transit,,0.0221,25.934138,Kepler-268,0.227
3522,Transit,,1.94,2.70339,KELT-3,1.56
3523,Transit,,0.00733,8.03755877,Kepler-931,0.119
3524,Transit,,0.0078,4.224537,Kepler-84,0.123
3525,Transit,,0.0187,52.0688601,Kepler-926,0.206
3526,Microlensing,,0.54,,MOA-2010-BLG-117L,1.27
3527,Transit,G2 V,4.32,2.8792319,Qatar-5,1.107
3528,Transit,G2 V,2.13,1.7771255,WASP-164,1.128
3529,Transit,G0 V,0.98,9.38755,WASP-185,1.25
3530,Transit,,0.85,3.0524,WASP-41,1.1
3531,Transit,K6 V,0.731,1.7522239,Wendelstein-2,1.159
3532,Radial Velocity,M4.5,0.00359,4.65627,YZ Cet,0.093
3533,Transit,F9,2.86,4.08722,WASP-73,1.42
3534,Transit,,0.0119,14.667108,Kepler-215,0.158
3535,Transit,,0.0108,10.35863224,Kepler-1476,0.149
3536,Transit,,0.0214,18.746477,Kepler-254,0.223
3537,Transit,M2 V,0.00416,3.306539,Kepler-249,0.097
3538,Transit,,0.0176,7.055679,Kepler-292,0.199
3539,Transit,,0.118,54.414,Kepler-279,0.277
3540,Radial Velocity,K0 V,0.56,24.3556,HD 192263,1.26
3541,Radial Velocity,F9.5 V,2.61,730.59998,HD 23079,1.18
